ID,Text,Sub-task A,Sub-task B,monolingual,tokenized
C65.233,Sex video banano....,NAG,NGEN,sex video banano....,"['sex', 'video', 'banano....']"
C59.1606,Panu di B.C cagoleo korbe na,OAG,NGEN,প্রভু বিসি ক্যাগোলিও korbe,"['প্রভু', 'বিসি', 'ক্যাগোলিও', 'korbe']"
C45.410,Sob to tmc partyr jhanda dakha jacha,NAG,NGEN,সব প্রতি tmc partyr jhanda দেখা মা,"['সব', 'প্রতি', 'tmc', 'partyr', 'jhanda', 'দেখা', 'মা']"
C68.876,Akdom thik bolecho bhai,NAG,NGEN,akdom ঠিক bolecho bhai,"['akdom', 'ঠিক', 'bolecho', 'bhai']"
C45.262.1,@440 VOLT BANGLA হু,NAG,NGEN,@৪৪০ volt বাংলা হু,"['@৪৪০', 'volt', 'বাংলা', 'হু']"
C59.119,Nice dada bolacho,NAG,NGEN,ভাল লাগল বুক bolacho,"['ভাল', 'লাগল', 'বুক', 'bolacho']"
C59.2221,Rait Vai good ..,NAG,NGEN,রাইট বা ভাল ..,"['রাইট', 'বা', 'ভাল', '..']"
C44.218,এই সব দেখানো বন্ধ করুন।এতে সমাজের ক্ষতি।,NAG,NGEN,সব দেখানো বন্ধ করুন।এতে সমাজের ক্ষতি।,"['সব', 'দেখানো', 'বন্ধ', 'করুন।এতে', 'সমাজের', 'ক্ষতি।']"
C68.1340,ছোট লোকের স্বভাব সবসময় ছোটলোকি থাকে বড়লোক হয় কোনদিন।,CAG,NGEN,ছোট লোকের স্বভাব সবসময় ছোটলোক থাকে বড়লোক কোনদিন।,"['ছোট', 'লোকের', 'স্বভাব', 'সবসময়', 'ছোটলোক', 'থাকে', 'বড়লোক', 'কোনদিন।']"
C68.932,Dada apni sattyi Katha bolchhen .naki banano yodi ranudi shone,NAG,NGEN,বুক আমার স্টাই কথা bolchhen .নাকি বানানো যোদি রানুদি শোনে,"['বুক', 'আমার', 'স্টাই', 'কথা', 'bolchhen', '.নাকি', 'বানানো', 'যোদি', 'রানুদি', 'শোনে']"
C59.1520,জতার্থ জবাব দিয়েচ,NAG,NGEN,যথার্থ জবাব দিয়েচ,"['যথার্থ', 'জবাব', 'দিয়েচ']"
C59.1690,Darun dadavai darun amr o aki mot😡😡😡😡,NAG,NGEN,দারুন দাদাভাই darun amr দ্য who mot😡😡😡😡,"['দারুন', 'দাদাভাই', 'darun', 'amr', 'দ্য', 'who', 'mot😡😡😡😡']"
C46.96,জানোয়ার গুলোর ফাঁসি চাই,OAG,NGEN,জানোয়ার গুলোর ফাঁসি চাই,"['জানোয়ার', 'গুলোর', 'ফাঁসি', 'চাই']"
C68.793,"বয়স বেশি হলে ওরকমই বলে এটা আমি জানি আমাদের পাশে যাদের বয়স্ক লোক আছে অনেকে
বলে 72 বছর বয়স হলে ওরকমই হয়ে যায়",CAG,NGEN,বয়স বেশি হলে ওরকমই বলে এটা আমি জানি আমাদের পাশে যাদের বয়স্ক লোক আছে অনেকে বলে 72 বছর বয়স হলে ওরকমই হয়ে যায়,"['বয়স', 'বেশি', 'হলে', 'ওরকমই', 'বলে', 'এটা', 'আমি', 'জানি', 'আমাদের', 'পাশে', 'যাদের', 'বয়স্ক', 'লোক', 'আছে', 'অনেকে', 'বলে', '72', 'বছর', 'বয়স', 'হলে', 'ওরকমই', 'হয়ে', 'যায়']"
C68.473,Fokinni,CAG,NGEN,ফোকিনি,['ফোকিনি']
C68.50.1,Aditimunsikirton,NAG,NGEN,আদিতিমুনসিকির্টন,['আদিতিমুনসিকির্টন']
C68.431,"এটাকে জুতা মারা উচিত
আমার এই রানুকে একদম দেখতে ইচ্ছে করে না",CAG,NGEN,এটাকে জুতা মারা উচিত আমার রানুকে একদম দেখতে ইচ্ছে,"['এটাকে', 'জুতা', 'মারা', 'উচিত', 'আমার', 'রানুকে', 'একদম', 'দেখতে', 'ইচ্ছে']"
C58.97,Tor guda chul acha,OAG,GEN,তোর গুদ চুল ভাবুন,"['তোর', 'গুদ', 'চুল', 'ভাবুন']"
C46.79,😢😢😢😢😢😢,NAG,NGEN,😢😢😢😢😢😢,['😢😢😢😢😢😢']
C59.1018,খুব সুন্দর হয়েছে ভিডিও,NAG,NGEN,খুব সুন্দর হয়েছে ভিডিও,"['খুব', 'সুন্দর', 'হয়েছে', 'ভিডিও']"
C59.1475,"এইরকম গঠনমূলক সমালোচনার জন্য আপনাকে ধন্যবাদ তবে আপনার কথার মধ্যে মজার বিষয়
ধরে আমাদের বহু উদীয়মান শিল্পী সত্যিই যদি রেলস্টেশন বাসস্টপে দাঁড়িয়ে খালি
গলায় তাদের প্রতিভার পরিচয় দেয় তাদের সাফল্যের রাস্তাটা অনেক সহজ হয়ে যাবে ‌।
এইরকম আক্রমণাত্মকভাবে চালিয়ে যাও ভাই তোমার প্রতি শুভেচ্ছা রইল।",NAG,NGEN,এইরকম গঠনমূলক সমালোচনার জন্য আপনাকে ধন্যবাদ তবে আপনার কথার মধ্যে মজার বিষয় ধরে আমাদের বহু উদীয়মান শিল্পী সত্যিই যদি রেলস্টেশন বাসস্টপে দাঁড়িয়ে খালি গলায় তাদের প্রতিভার পরিচয় দেয় তাদের সাফল্যের রাস্তাটা অনেক সহজ হয়ে যাবে ‌। এইরকম আক্রমণাত্মক ভাবে চালিয়ে যাও ভাই তোমার প্রতি শুভেচ্ছা রইল।,"['এইরকম', 'গঠনমূলক', 'সমালোচনার', 'জন্য', 'আপনাকে', 'ধন্যবাদ', 'তবে', 'আপনার', 'কথার', 'মধ্যে', 'মজার', 'বিষয়', 'ধরে', 'আমাদের', 'বহু', 'উদীয়মান', 'শিল্পী', 'সত্যিই', 'যদি', 'রেলস্টেশন', 'বাসস্টপে', 'দাঁড়িয়ে', 'খালি', 'গলায়', 'তাদের', 'প্রতিভার', 'পরিচয়', 'দেয়', 'তাদের', 'সাফল্যের', 'রাস্তাটা', 'অনেক', 'সহজ', 'হয়ে', 'যাবে', '\u200c।', 'এইরকম', 'আক্রমণাত্মক', 'ভাবে', 'চালিয়ে', 'যাও', 'ভাই', 'তোমার', 'প্রতি', 'শুভেচ্ছা', 'রইল।']"
C59.64,Panu Di chando dekhe tuniya puro mukdho,CAG,NGEN,প্রভু চাঁদ দেখে টুনিয়া পুরো লড়াই,"['প্রভু', 'চাঁদ', 'দেখে', 'টুনিয়া', 'পুরো', 'লড়াই']"
C44.249.3,"Bokacoda Quran porsis jibone.islam bai boner bibaho sompurno haram kore dice
bujli madarcod",OAG,GEN,বোকাচোদা কুরআন porsis jibone.islam সাদা বোনের বিবাহ সম্পূর্ণ হারাম kore তিনি বলেন বুজলি madarcod,"['বোকাচোদা', 'কুরআন', 'porsis', 'jibone.islam', 'সাদা', 'বোনের', 'বিবাহ', 'সম্পূর্ণ', 'হারাম', 'kore', 'তিনি', 'বলেন', 'বুজলি', 'madarcod']"
C59.301,habby v d o,NAG,NGEN,habby at d o,"['habby', 'at', 'd', 'o']"
C68.601.1,Monttri derniyeo videkorechi,NAG,NGEN,মন্ট্রি ডার্নিও জায়গা ভি,"['মন্ট্রি', 'ডার্নিও', 'জায়গা', 'ভি']"
C59.1054,"A. P. J Abdul Kalam bola chilo j ohonker tkhon kora jakhon se aomn kichu paya
jai j seta tar poyer joggo thakana.... 😁 😁 😁 😁",NAG,NGEN,ক। পি। জে আব্দুল kalam bola ছিল j ওহোনকার tkhon করা jakhon আমি জানি ওমান কিছু paya যাই j seta তার poyer joggo ক্লান্ত হয়ে .... 😁 😁 😁 😁,"['ক।', 'পি।', 'জে', 'আব্দুল', 'kalam', 'bola', 'ছিল', 'j', 'ওহোনকার', 'tkhon', 'করা', 'jakhon', 'আমি', 'জানি', 'ওমান', 'কিছু', 'paya', 'যাই', 'j', 'seta', 'তার', 'poyer', 'joggo', 'ক্লান্ত', 'হয়ে', '....', '😁', '😁', '😁', '😁']"
C59.142,Ha ha,NAG,NGEN,তার আছে তার আছে,"['তার', 'আছে', 'তার', 'আছে']"
C59.2127.1,ami na,NAG,NGEN,আমি na,"['আমি', 'na']"
C68.1017,"দাদা একদম খাঠি কথা বলেছেন, জারা রানু কে এতো বড়ো জাগায় জাওয়ার সুযোগ করে দিয়ে
ছিল তারা ওর পাগলা মো কথা বার্তা সুনে আবার বাটি ধরিয়ে দেবে রানু হাতে, দাদা
আপনার ভিডিওটা খুবই ভালো লাগলো।",CAG,NGEN,"দাদা একদম খাঠি কথা বলেছেন, জারা কে এতো বড়ো জাগায় জাওয়ার সুযোগ দিয়ে ছিল তারা ওর পাগলা মো কথা বার্তা সুনে আবার বাটি ধরিয়ে দেবে হাতে, দাদা আপনার ভিডিওটা খুবই ভালো লাগলো।","['দাদা', 'একদম', 'খাঠি', 'কথা', 'বলেছেন,', 'জারা', 'কে', 'এতো', 'বড়ো', 'জাগায়', 'জাওয়ার', 'সুযোগ', 'দিয়ে', 'ছিল', 'তারা', 'ওর', 'পাগলা', 'মো', 'কথা', 'বার্তা', 'সুনে', 'আবার', 'বাটি', 'ধরিয়ে', 'দেবে', 'হাতে,', 'দাদা', 'আপনার', 'ভিডিওটা', 'খুবই', 'ভালো', 'লাগলো।']"
C45.503,"Khankir 6ele ok bolar age tui sob cheye boro khakir chele.. suyorer baccha
nije to ge6is thapanor jonno.. wait kor report marchi..",OAG,GEN,khankir 6ele ok bolar age tui sob cheye boro khakir chele.. suyorer বাচ্চা nije to ge6is thapanor জন্য.. wait kor report marchi..,"['khankir', '6ele', 'ok', 'bolar', 'age', 'tui', 'sob', 'cheye', 'boro', 'khakir', 'chele..', 'suyorer', 'বাচ্চা', 'nije', 'to', 'ge6is', 'thapanor', 'জন্য..', 'wait', 'kor', 'report', 'marchi..']"
C68.381,Nice dada khub bhalo laglo😍😍,NAG,NGEN,nice dada khub ভালো laglo😍😍,"['nice', 'dada', 'khub', 'ভালো', 'laglo😍😍']"
C46.217,Sab koitar fasi deoya uchit chilo,NAG,NGEN,sab koitar fasi দেওয়া উচিত ছিল,"['sab', 'koitar', 'fasi', 'দেওয়া', 'উচিত', 'ছিল']"
C59.231,আমার হোগা মারা সারা.... রানুর হেটার্স লাইক দেরে....,CAG,NGEN,আমার হোগা মারা সারা.... রানুর হেটার্স লাইক দেরে....,"['আমার', 'হোগা', 'মারা', 'সারা....', 'রানুর', 'হেটার্স', 'লাইক', 'দেরে....']"
C44.218.3,"@Sudip Bhattacharyya age bara banan thik kore lekh.marani sala illiterate.r
lajja thkle comments koris na Amy.tor gustir pod mere debo sudip",OAG,GEN,@sudip bhattacharyya age bara banan thik kore lekh.marani sala illiterate.r lajja thkle comments করিস na amy.tor পছন্দ অধীনে আরও debo sudip,"['@sudip', 'bhattacharyya', 'age', 'bara', 'banan', 'thik', 'kore', 'lekh.marani', 'sala', 'illiterate.r', 'lajja', 'thkle', 'comments', 'করিস', 'na', 'amy.tor', 'পছন্দ', 'অধীনে', 'আরও', 'debo', 'sudip']"
C61.1593,Magir beti,OAG,GEN,magir সর্বদা,"['magir', 'সর্বদা']"
C68.16,"ভাই পারলে নিজের ক্রিয়েটিভিটি দিয়ে কনটেন্ট তৈরি করুন। এইসব ফালতু কন্টেন্টে
তৈরি থেকে বিরত থাকুন। অন্যকে নিয়ে উপহাস করা আপনার অধিকার নায় ‌। মানুষ মাত্রই
ভুল, তাই এইসব ছোটখাটো বিষয় নিয়ে এত তোলপাড় করার কিছু নেই, আর আপনাদের মত
ইউটিউবার মনিটাইজেশন অন করে কিছু টাকা ইনকামের জন্য এইসব ধান্দাবাজি শুরু করে
ছেন।
তাই বলছি পারলে নিজের ক্রিয়েটিভ দিয়ে কনটেন্ট তৈরি করুন ‌।
ধন্যবাদ।",CAG,NGEN,"ভাই পারলে নিজের ক্রিয়েটিভিটি দিয়ে কনটেন্ট তৈরি করুন। এইসব ফালতু কন্টেন্টে তৈরি থেকে বিরত থাকুন। অন্যকে নিয়ে উপহাস করা আপনার অধিকার নায় ‌। মানুষ মাত্রই ভুল, তাই এইসব ছোটখাটো বিষয় নিয়ে এত তোলপাড় করার কিছু নেই, আপনাদের মত ইউটিউবার মনিটাইজেশন অন কিছু টাকা ইনকামের জন্য এইসব ধান্দাবাজি শুরু ছেন। তাই বলছি পারলে নিজের ক্রিয়েটিভ দিয়ে কনটেন্ট তৈরি করুন ‌। ধন্যবাদ।","['ভাই', 'পারলে', 'নিজের', 'ক্রিয়েটিভিটি', 'দিয়ে', 'কনটেন্ট', 'তৈরি', 'করুন।', 'এইসব', 'ফালতু', 'কন্টেন্টে', 'তৈরি', 'থেকে', 'বিরত', 'থাকুন।', 'অন্যকে', 'নিয়ে', 'উপহাস', 'করা', 'আপনার', 'অধিকার', 'নায়', '\u200c।', 'মানুষ', 'মাত্রই', 'ভুল,', 'তাই', 'এইসব', 'ছোটখাটো', 'বিষয়', 'নিয়ে', 'এত', 'তোলপাড়', 'করার', 'কিছু', 'নেই,', 'আপনাদের', 'মত', 'ইউটিউবার', 'মনিটাইজেশন', 'অন', 'কিছু', 'টাকা', 'ইনকামের', 'জন্য', 'এইসব', 'ধান্দাবাজি', 'শুরু', 'ছেন।', 'তাই', 'বলছি', 'পারলে', 'নিজের', 'ক্রিয়েটিভ', 'দিয়ে', 'কনটেন্ট', 'তৈরি', 'করুন', '\u200c।', 'ধন্যবাদ।']"
C61.1757,Sale tur good morbo,OAG,GEN,বিক্রয় সেখানে ভাল morbo,"['বিক্রয়', 'সেখানে', 'ভাল', 'morbo']"
C46.24,"দেখুন সুজেন রেপ কেস মনে পরে আসামিরা কোথায়, সুতারণঃ এসব বলে লাভ, মাননীয়া বলেছেন
নাটক, সুতরাং আপনিও নাটক ই করছেন.",NAG,NGEN,"দেখুন সুজেন রেপ কেস মনে পরে আসামিরা কোথায়, সুতারণঃ এসব বলে লাভ, মাননীয়া বলেছেন নাটক, সুতরাং আপনিও নাটক ই করছেন.","['দেখুন', 'সুজেন', 'রেপ', 'কেস', 'মনে', 'পরে', 'আসামিরা', 'কোথায়,', 'সুতারণঃ', 'এসব', 'বলে', 'লাভ,', 'মাননীয়া', 'বলেছেন', 'নাটক,', 'সুতরাং', 'আপনিও', 'নাটক', 'ই', 'করছেন.']"
C68.1002.2,ভালো,NAG,NGEN,ভালো,['ভালো']
C61.910,💩💩💩💩💩🖕🖕🖕 MC,CAG,GEN,💩💩💩💩💩🖕🖕🖕 এমসি,"['💩💩💩💩💩🖕🖕🖕', 'এমসি']"
C59.543,মাগী তো পাগল,OAG,GEN,মাগী তো পাগল,"['মাগী', 'তো', 'পাগল']"
C68.289,Ranu Di atta khan ki,OAG,NGEN,di আত্মা খান ki,"['di', 'আত্মা', 'খান', 'ki']"
C61.2139,কালি তোকে শুয়র দিয়ে চুদে নেওয়া লাগবে,OAG,GEN,কালি তোকে শুয়োর দিয়ে চুদে নেওয়া লাগবে,"['কালি', 'তোকে', 'শুয়োর', 'দিয়ে', 'চুদে', 'নেওয়া', 'লাগবে']"
C68.1338,"তুমি ঠিকই বলেছো ভাই, ভিখারীর মন কখনো রাজার মত হয় না,",CAG,NGEN,"তুমি ঠিকই বলেছো ভাই, ভিখারীর মন কখনো রাজার মত হয় না,","['তুমি', 'ঠিকই', 'বলেছো', 'ভাই,', 'ভিখারীর', 'মন', 'কখনো', 'রাজার', 'মত', 'হয়', 'না,']"
C45.361,6294501720 আমার নম্বর,NAG,NGEN,৬২৯৪৫০১৭টো আমার নম্বর,"['৬২৯৪৫০১৭টো', 'আমার', 'নম্বর']"
C65.311,ওকে জুতো পেটা করো,OAG,NGEN,ওকে জুতো পেটা করো,"['ওকে', 'জুতো', 'পেটা', 'করো']"
C59.1793.1,🤣🤣✌✌👍👍,NAG,NGEN,🤣🤣✌✌👍👍,['🤣🤣✌✌👍👍']
C65.226,HETI KITA KOY RE PURAY PAGOL NA CHAGOL ATA HERO,CAG,NGEN,তাত্ক্ষণিকভাবে আমরা koy আরই সমগ্র পাগল chagol এটিএ হিরো,"['তাত্ক্ষণিকভাবে', 'আমরা', 'koy', 'আরই', 'সমগ্র', 'পাগল', 'chagol', 'এটিএ', 'হিরো']"
C59.1361,👌👌👌👌👌👌👌,NAG,NGEN,👌👌👌👌👌👌👌,['👌👌👌👌👌👌👌']
C59.1909,Too good vai...,NAG,NGEN,খুব ভাল বা ...,"['খুব', 'ভাল', 'বা', '...']"
C59.610,"Sobar uddesse bolchi sobai ranu Mondal k niea khisti marun kintu himesh k niea
kono khisti marben na karon himesh is himesh uni khub boro moner manus and
rock star",CAG,NGEN,সবার অভিপ্রায় সহ bolchi সবাই ranu মন্ডল প্রতি নিয়া খিস্তি মারুন কিন্তু হিমেশ প্রতি নিয়া কোনো খিস্তি মারবেন কারণ হিমেশ হিমেশ সংযুক্ত খুব বোরো মনের মানুষ এবং rock তারা,"['সবার', 'অভিপ্রায়', 'সহ', 'bolchi', 'সবাই', 'ranu', 'মন্ডল', 'প্রতি', 'নিয়া', 'খিস্তি', 'মারুন', 'কিন্তু', 'হিমেশ', 'প্রতি', 'নিয়া', 'কোনো', 'খিস্তি', 'মারবেন', 'কারণ', 'হিমেশ', 'হিমেশ', 'সংযুক্ত', 'খুব', 'বোরো', 'মনের', 'মানুষ', 'এবং', 'rock', 'তারা']"
C59.2001,আমরা সবাই আল্লাহর চাকর,NAG,NGEN,আমরা সবাই আল্লাহর চাকর,"['আমরা', 'সবাই', 'আল্লাহর', 'চাকর']"
C59.2088,Khub kharab montobbo ranudir,NAG,NGEN,খুব খারাপ মন্তব্য ranudir,"['খুব', 'খারাপ', 'মন্তব্য', 'ranudir']"
C62.175,Khakib khan opu,CAG,NGEN,খুগিব খান অপু,"['খুগিব', 'খান', 'অপু']"
C68.1135,Dhermer call batase nare,NAG,NGEN,ধার্মার কল বাতাসে অভ্যাস করুন,"['ধার্মার', 'কল', 'বাতাসে', 'অভ্যাস', 'করুন']"
C68.805,"Are ranumandal akta siyana pagol amaro age valo lagto but akhon mukh dakhly
matha gorom hoye jai 😡😡😡 r ranu mandal to ohonkari to a6y ataty kono sondeho
nai",CAG,NGEN,ranumandal একটা রক্ষণাবেক্ষণ পাগল আমার আগে ভালো লাগতো কিন্তু এখন মুখ পেশা মাথা গরম hoye যাই 😡😡😡 r মণ্ডল প্রতি ওহোনকারি প্রতি a6y অ্যাট্যাটি কোনো সন্দেহ অনুপস্থিত,"['ranumandal', 'একটা', 'রক্ষণাবেক্ষণ', 'পাগল', 'আমার', 'আগে', 'ভালো', 'লাগতো', 'কিন্তু', 'এখন', 'মুখ', 'পেশা', 'মাথা', 'গরম', 'hoye', 'যাই', '😡😡😡', 'r', 'মণ্ডল', 'প্রতি', 'ওহোনকারি', 'প্রতি', 'a6y', 'অ্যাট্যাটি', 'কোনো', 'সন্দেহ', 'অনুপস্থিত']"
C59.1765,Shalake abar vikka korate pathale,OAG,NGEN,শালকে আবার দোষ করতে পাঠালে,"['শালকে', 'আবার', 'দোষ', 'করতে', 'পাঠালে']"
C59.2194,Khanki.. 🤜🤛🤛🤛🤜,NAG,GEN,খানকি.. 🤜🤛🤛🤛🤜,"['খানকি..', '🤜🤛🤛🤛🤜']"
C45.269,"দাদা শেষে কিনা বুড়ির কাছে ধরা দিলে,?জলের বোতল ছিলো একটা মেয়ের হাতে মালটা
দারুন।",NAG,GEN,"দাদা শেষে কিনা বুড়ির কাছে ধরা দিলে,?জলের বোতল ছিলো একটা মেয়ে হাতে মালটা দারুন।","['দাদা', 'শেষে', 'কিনা', 'বুড়ির', 'কাছে', 'ধরা', 'দিলে,?জলের', 'বোতল', 'ছিলো', 'একটা', 'মেয়ে', 'হাতে', 'মালটা', 'দারুন।']"
C45.482,Jaga ta kothai Bhai bolbe please,NAG,NGEN,ভাগ টা কোথায় ভাই বলবে অনুগ্রহ,"['ভাগ', 'টা', 'কোথায়', 'ভাই', 'বলবে', 'অনুগ্রহ']"
C58.446,Guda mondal,OAG,GEN,গুদ মন্ডল,"['গুদ', 'মন্ডল']"
C59.1063,"আমি তোমার চ্যানেল এ নতুন দা
Khub valo laglo",NAG,NGEN,আমি তোমার চ্যানেল এ নতুন দা খুব ভালো লাগলো,"['আমি', 'তোমার', 'চ্যানেল', 'এ', 'নতুন', 'দা', 'খুব', 'ভালো', 'লাগলো']"
C45.125,"তাদের সাথে খারাপ ব্যবহার করোনা। তারা মায়ের জাত। তারা সবাই নিষ্পাপ। তাদের সাথে
কেউ অন্যায় করলে সে নিশ্চিত অভিশাপে পতিত হবে। প্রভু তাদের ভাল রাখুক।",NAG,NGEN,তাদের সাথে খারাপ ব্যবহার করোনা। তারা মায়ের জাত। তারা সবাই নিষ্পাপ। তাদের সাথে কেউ অন্যায় করলে সে নিশ্চিত অভিশাপে পতিত হবে। প্রভু তাদের ভাল রাখুক।,"['তাদের', 'সাথে', 'খারাপ', 'ব্যবহার', 'করোনা।', 'তারা', 'মায়ের', 'জাত।', 'তারা', 'সবাই', 'নিষ্পাপ।', 'তাদের', 'সাথে', 'কেউ', 'অন্যায়', 'করলে', 'সে', 'নিশ্চিত', 'অভিশাপে', 'পতিত', 'হবে।', 'প্রভু', 'তাদের', 'ভাল', 'রাখুক।']"
C59.1592.1,<https://www.youtube.com/channel/UCCRGVN2CQKsmigGsaF3Ca3A/videos?view_as=subscriber>,NAG,NGEN,<https://www.youtube.com/channel/uccrgvn2cqksmiggsaf3ca3a/videos?view_as=subscriber>,['<https://www.youtube.com/channel/uccrgvn2cqksmiggsaf3ca3a/videos?view_as=subscriber>']
C59.235,"Akta kotha na bole parchi na ranu mondol kintu akjon elomelo vaboghure gan
pagol mohila tr guchiye kotha bolar khomota nei or kothar vul mane ber kora ta
thik na",NAG,NGEN,একটা কথা বলে পারছি মন্ডল কিন্তু কর্ম এলোমেলো ওয়াবোঘুরায় gan পাগল মহিলা tr গুছিয়ে কথা বলার কোমা নেই বা কথার ভুল থেকে বের করা টা ঠিক na,"['একটা', 'কথা', 'বলে', 'পারছি', 'মন্ডল', 'কিন্তু', 'কর্ম', 'এলোমেলো', 'ওয়াবোঘুরায়', 'gan', 'পাগল', 'মহিলা', 'tr', 'গুছিয়ে', 'কথা', 'বলার', 'কোমা', 'নেই', 'বা', 'কথার', 'ভুল', 'থেকে', 'বের', 'করা', 'টা', 'ঠিক', 'na']"
C66.61.4,Eta abr ki vaia,NAG,NGEN,এবং abr যাওয়া,"['এবং', 'abr', 'যাওয়া']"
C59.125,মিরনময় দাদা আরো নতুন ভিডিও আপলোড করুন,NAG,NGEN,মিরনময় দাদা আরো নতুন ভিডিও আপলোড করুন,"['মিরনময়', 'দাদা', 'আরো', 'নতুন', 'ভিডিও', 'আপলোড', 'করুন']"
C59.1026,👍👍👍👍👍👍👍,NAG,NGEN,👍👍👍👍👍👍👍,['👍👍👍👍👍👍👍']
C59.1332,"খুব সুন্দর ভিডিও করছেন,",NAG,NGEN,"খুব সুন্দর ভিডিও করছেন,","['খুব', 'সুন্দর', 'ভিডিও', 'করছেন,']"
C44.270,"Satyajit ray o nijer mamato bon ke biye korechilen kintu take keu kicchu
boleni ba seta niye keu troll o korena karon se satyojit
ray..................even india a te jara telugu people tara cousin der ke
biye kore. eta jante pere amio obak hoyechilam.",NAG,NGEN,সত্যজিৎ রায় দ্য নিজের mamato আমরা হব বিয়ে করেছিলেন কিন্তু গ্রহণ করা কেউ কিচ্ছু বলতে বা সেটা নিয়ে কেউ troll o korena karon se সত্যজিৎ রে .................. এমনকি ভারত a te jara তেলেগু মানুষ তারা কাজিন der ke বিয়ে করে. eta জানতে পিয়ার amio অবাক হয়েছিলাম.,"['সত্যজিৎ', 'রায়', 'দ্য', 'নিজের', 'mamato', 'আমরা', 'হব', 'বিয়ে', 'করেছিলেন', 'কিন্তু', 'গ্রহণ', 'করা', 'কেউ', 'কিচ্ছু', 'বলতে', 'বা', 'সেটা', 'নিয়ে', 'কেউ', 'troll', 'o', 'korena', 'karon', 'se', 'সত্যজিৎ', 'রে', '..................', 'এমনকি', 'ভারত', 'a', 'te', 'jara', 'তেলেগু', 'মানুষ', 'তারা', 'কাজিন', 'der', 'ke', 'বিয়ে', 'করে.', 'eta', 'জানতে', 'পিয়ার', 'amio', 'অবাক', 'হয়েছিলাম.']"
C46.250.2,"dada jara dosh korechen tader fasi din...tai bole sobai kharap ata bhul
vabchen..",NAG,NGEN,dada যারা দশ করেছেন তাদের ফাঁসি প্রথম বলে sobai পরিখা তারা ভুল ভ্যাবচেন ..,"['dada', 'যারা', 'দশ', 'করেছেন', 'তাদের', 'ফাঁসি', 'প্রথম', 'বলে', 'sobai', 'পরিখা', 'তারা', 'ভুল', 'ভ্যাবচেন', '..']"
C59.1099,Crush 😍😍 dada tmr kotha bolar style tmr hasi ta r nach 😍😍 crush 😌😌,NAG,NGEN,পিষা 😍😍 বুক tmr kotha বলার স্টাইল tmr হাসি ta r প্রতি 😍😍 পিষা 😌😌,"['পিষা', '😍😍', 'বুক', 'tmr', 'kotha', 'বলার', 'স্টাইল', 'tmr', 'হাসি', 'ta', 'r', 'প্রতি', '😍😍', 'পিষা', '😌😌']"
C62.108,"Divorce dabey bolei shakib khan papers kore ni,very clever .",NAG,NGEN,"divorce ডাবি bolei shakib খান কাগজপত্র ni,very চালাক .","['divorce', 'ডাবি', 'bolei', 'shakib', 'খান', 'কাগজপত্র', 'ni,very', 'চালাক', '.']"
C59.1265,Valo video Baniyechho,NAG,NGEN,ভালো video বানিয়েছো,"['ভালো', 'video', 'বানিয়েছো']"
C45.10,Vai Tumi video ta korle ki vabe,NAG,NGEN,বা tumi ভিডিও টা করলে ki ভাবে,"['বা', 'tumi', 'ভিডিও', 'টা', 'করলে', 'ki', 'ভাবে']"
C59.1764,Beiman.. Ranu,CAG,NGEN,beiman.. ranu,"['beiman..', 'ranu']"
C59.880,"Tumi akdom thik bole6o..... Ranu Mandol er theke onek besi vlo singer
Bollywood e a6e .... Ranu mandol er moto singer er gan ami to suntei chai na r
Ranu mandol er moto Akritaggo manush r duto nei 2 dine 2 to gan kore nijeke
onek boro singer mone kor6en uni...... R a onar theke onek valo valo singer
Bollywood e a6e ..... lata mangeshkar ji ,Alka yagnik ji, ,Anuradha ji,shreya
ghosal ji, udit narayan ji, kumar sanu ji, eder theke uni nijeke boro singer
mone kore naki",CAG,NGEN,"tumi akdom thik bole6o..... ranu mandol er theke onek besi vlo singer bollywood e a6e .... ranu mandol er moto singer er gan ami to suntei chai na r ranu mandol er moto akritaggo manush r duto nei 2 dine 2 to gan kore nijeke onek boro singer mone kor6en uni...... r a onar theke onek valo valo singer bollywood e a6e ..... lata mangeshkar ji ,alka yagnik ji, ,anuradha ji,shreya ghosal ji, udit narayan ji, kumar সানু ji, eder theke uni nijeke boro গায়ক mone kore naki","['tumi', 'akdom', 'thik', 'bole6o.....', 'ranu', 'mandol', 'er', 'theke', 'onek', 'besi', 'vlo', 'singer', 'bollywood', 'e', 'a6e', '....', 'ranu', 'mandol', 'er', 'moto', 'singer', 'er', 'gan', 'ami', 'to', 'suntei', 'chai', 'na', 'r', 'ranu', 'mandol', 'er', 'moto', 'akritaggo', 'manush', 'r', 'duto', 'nei', '2', 'dine', '2', 'to', 'gan', 'kore', 'nijeke', 'onek', 'boro', 'singer', 'mone', 'kor6en', 'uni......', 'r', 'a', 'onar', 'theke', 'onek', 'valo', 'valo', 'singer', 'bollywood', 'e', 'a6e', '.....', 'lata', 'mangeshkar', 'ji', ',alka', 'yagnik', 'ji,', ',anuradha', 'ji,shreya', 'ghosal', 'ji,', 'udit', 'narayan', 'ji,', 'kumar', 'সানু', 'ji,', 'eder', 'theke', 'uni', 'nijeke', 'boro', 'গায়ক', 'mone', 'kore', 'naki']"
